#                                                           
# //$$        /$$       /$$       $$ /$$$$$$$   $$    $$    
# | $$       //$$    $$| $$$    /$$$| $$       /$$$$  $$    
# | $$       | $$    $$| $$$$  /$$$$| $$      | $$$$$ $$    
# | $$       | $$    $$| $$ $$/$$ $$| $$$$$$$ | $$ $$$$$    
# | $$       | $$    $$| $$  $$$| $$| $$      | $$   $$$    
# | $$       | $$    $$| $$\  $ | $$| $$      | $$    $$    
# | $$$$$$$  | $$$$$$$$| $$     | $$| $$$$$$$/| $$    $$    
# |______/   |________/|__/     |__/|_______/  \__/  \_/    
#                                                           
#             GPL Version 1.0.0 Revision 120                
#                       MPI Build                           
#                 (based on Yambo 4.1.2)                    
#
#[RT] Time steps       :10667
#[RT] Time step    [fs]:  0.01500
#[NL] Damping      [fs]:  0.05000
#[NL] Bands   ange     :34 - 47
#[NL] Energy range     : 0.700000 -  2.050000
#[NL] Number of freqs  :192
#[NL] Number of intens :1
#[NL] Force 2nd approx : no
#[NL] Use DIPOLES      : no
#[RT] Integrator           :CRANKNIC
#[NL] Correlation           :LSEX
#[NL] Number of G in NL-dynamics  :123
#[NL] Number of G in Oscillators  :1
# [FIELDs] Type           :SOFTSIN
#[FIELDs] Versor                : 0.000000  1.000000  0.000000
#[FIELDs] Intensity     [kWCMm2]: 1000.
#[FIELDs] Damping           [fs]: 82.68275
#[FIELDs] Frequency range   [eV]:  0.10000
#[FIELDs] Initial time      [fs]:  0.01500
#
#  Efield Denominator =  -0.2807558530E+12  0.0000000000E+00
#  Amplitude rescale factor: 1
#
  # E [eV]         X/Im[cm/stV](x)  X/Re[cm/stV](x)  X/Im[cm/stV](y)  X/Re[cm/stV](y)  X/Im[cm/stV](z)  X/Re[cm/stV](z)
  0.7000000000     0.1976096612E-8  -.2377886708E-7  -.2561328142E-6  0.2582685888E-5   0.000000000      0.000000000   
  0.7070312500     0.2050299962E-8  -.2394400787E-7  -.2865585931E-6  0.2714149482E-5   0.000000000      0.000000000   
  0.7140625000     0.2139204637E-8  -.2410973121E-7  -.2626943945E-6  0.2679268784E-5   0.000000000      0.000000000   
  0.7210937500     0.2223920809E-8  -.2428670118E-7  -.3156852677E-6  0.2797010762E-5   0.000000000      0.000000000   
  0.7281250000     0.2314117239E-8  -.2446809466E-7  -.2834817139E-6  0.2788533267E-5   0.000000000      0.000000000   
  0.7351562500     0.2402516992E-8  -.2465341987E-7  -.3432744028E-6  0.2889841874E-5   0.000000000      0.000000000   
  0.7421875000     0.2502181744E-8  -.2485183147E-7  -.3079068604E-6  0.2897532215E-5   0.000000000      0.000000000   
  0.7492187500     0.2596290158E-8  -.2505054454E-7  -.3733637119E-6  0.2994921312E-5   0.000000000      0.000000000   
  0.7562500000     0.2699939018E-8  -.2526349607E-7  -.3326150711E-6  0.3015886406E-5   0.000000000      0.000000000   
  0.7632812500     0.2793749114E-8  -.2549632775E-7  -.4089140198E-6  0.3112325877E-5   0.000000000      0.000000000   
  0.7703125000     0.2909666850E-8  -.2572251769E-7  -.3605680372E-6  0.3147116702E-5   0.000000000      0.000000000   
  0.7773437500     0.3026360092E-8  -.2598996396E-7  -.4536837388E-6  0.3235831330E-5   0.000000000      0.000000000   
  0.7843750000     0.3149281434E-8  -.2623240800E-7  -.3952442344E-6  0.3299052676E-5   0.000000000      0.000000000   
  0.7914062500     0.3293267932E-8  -.2652070399E-7  -.5020677492E-6  0.3369392980E-5   0.000000000      0.000000000   
  0.7984375000     0.3417768856E-8  -.2679206873E-7  -.4442912978E-6  0.3472021395E-5   0.000000000      0.000000000   
  0.8054687500     0.3584521891E-8  -.2709786326E-7  -.5495999579E-6  0.3516826301E-5   0.000000000      0.000000000   
  0.8125000000     0.3720180798E-8  -.2741079390E-7  -.5138313530E-6  0.3664413360E-5   0.000000000      0.000000000   
  0.8195312500     0.3904887619E-8  -.2774022290E-7  -.6033468429E-6  0.3693046359E-5   0.000000000      0.000000000   
  0.8265625000     0.4063715807E-8  -.2809853719E-7  -.6101029991E-6  0.3875227543E-5   0.000000000      0.000000000   
  0.8335937500     0.4265696072E-8  -.2845898029E-7  -.6733865514E-6  0.3905429686E-5   0.000000000      0.000000000   
  0.8406250000     0.4453540195E-8  -.2886335999E-7  -.7298454937E-6  0.4106918775E-5   0.000000000      0.000000000   
  0.8476562500     0.4675694735E-8  -.2926978452E-7  -.7720766280E-6  0.4165882863E-5   0.000000000      0.000000000   
  0.8546875000     0.4899383330E-8  -.2972784078E-7  -.8839450992E-6  0.4370423651E-5   0.000000000      0.000000000   
  0.8617187500     0.5150929692E-8  -.3018704505E-7  -.9298677721E-6  0.4474490754E-5   0.000000000      0.000000000   
  0.8687500000     0.5416484293E-8  -.3070894329E-7  -.1094290536E-5  0.4675190068E-5   0.000000000      0.000000000   
  0.8757812500     0.5704558607E-8  -.3123683646E-7  -.1181201522E-5  0.4841390792E-5   0.000000000      0.000000000   
  0.8828125000     0.6022821742E-8  -.3183676840E-7  -.1410739507E-5  0.5042726618E-5   0.000000000      0.000000000   
  0.8898437500     0.6355240202E-8  -.3245222154E-7  -.1595174004E-5  0.5260514075E-5   0.000000000      0.000000000   
  0.8968750000     0.6738918440E-8  -.3315088510E-7  -.1940854618E-5  0.5458360858E-5   0.000000000      0.000000000   
  0.9039062500     0.7135443522E-8  -.3389065939E-7  -.2321900553E-5  0.5677938406E-5   0.000000000      0.000000000   
  0.9109375000     0.7613409419E-8  -.3472560448E-7  -.2896868229E-5  0.5779004415E-5   0.000000000      0.000000000   
  0.9179687500     0.8124881611E-8  -.3564413744E-7  -.3593637326E-5  0.5765030270E-5   0.000000000      0.000000000   
  0.9250000000     0.8777862140E-8  -.3666041089E-7  -.4404693955E-5  0.5357916315E-5   0.000000000      0.000000000   
  0.9320312500     0.9540447804E-8  -.3776904128E-7  -.5042616526E-5  0.4540276976E-5   0.000000000      0.000000000   
  0.9390625000     0.1049609197E-7  -.3888472649E-7  -.5122264173E-5  0.3373302642E-5   0.000000000      0.000000000   
  0.9460937500     0.1153406930E-7  -.4002880504E-7  -.4584735831E-5  0.2450525760E-5   0.000000000      0.000000000   
  0.9531250000     0.1266234423E-7  -.4118660676E-7  -.3742786638E-5  0.1996229513E-5   0.000000000      0.000000000   
  0.9601562500     0.1386286868E-7  -.4249305388E-7  -.3009583056E-5  0.2005663356E-5   0.000000000      0.000000000   
  0.9671875000     0.1520792058E-7  -.4391795284E-7  -.2426613801E-5  0.2224157617E-5   0.000000000      0.000000000   
  0.9742187500     0.1675428266E-7  -.4556387349E-7  -.2069206229E-5  0.2548081726E-5   0.000000000      0.000000000   
  0.9812500000     0.1855288818E-7  -.4737478164E-7  -.1791800488E-5  0.2901949216E-5   0.000000000      0.000000000   
  0.9882812500     0.2070687895E-7  -.4944392257E-7  -.1668054898E-5  0.3243275371E-5   0.000000000      0.000000000   
  0.9953125000     0.2326828074E-7  -.5172865581E-7  -.1556955852E-5  0.3610694134E-5   0.000000000      0.000000000   
   1.002343750     0.2641900857E-7  -.5430864706E-7  -.1541338330E-5  0.3928024993E-5   0.000000000      0.000000000   
   1.009375000     0.3026259985E-7  -.5716116069E-7  -.1533703594E-5  0.4303631061E-5   0.000000000      0.000000000   
   1.016406250     0.3511406468E-7  -.6031768244E-7  -.1580199991E-5  0.4606965905E-5   0.000000000      0.000000000   
   1.023437500     0.4122736977E-7  -.6373519364E-7  -.1660279112E-5  0.5000065865E-5   0.000000000      0.000000000   
   1.030468750     0.4915962846E-7  -.6728753325E-7  -.1752895126E-5  0.5325871667E-5   0.000000000      0.000000000   
   1.037500000     0.5951062961E-7  -.7071141454E-7  -.1931766694E-5  0.5744507998E-5   0.000000000      0.000000000   
   1.044531250     0.7327453607E-7  -.7329011992E-7  -.2094674969E-5  0.6119390599E-5   0.000000000      0.000000000   
   1.051562500     0.9155192390E-7  -.7365428045E-7  -.2425202927E-5  0.6574032999E-5   0.000000000      0.000000000   
   1.058593750     0.1153755393E-6  -.6883513957E-7  -.2764818983E-5  0.7013999712E-5   0.000000000      0.000000000   
   1.065625000     0.1441062609E-6  -.5372692170E-7  -.3390757600E-5  0.7415486177E-5   0.000000000      0.000000000   
   1.072656250     0.1719718012E-6  -.2153717237E-7  -.4084606869E-5  0.7668433977E-5   0.000000000      0.000000000   
   1.079687500     0.1849595144E-6  0.2920968684E-7  -.4934195535E-5  0.7542949600E-5   0.000000000      0.000000000   
   1.086718750     0.1692784901E-6  0.8455339743E-7  -.5503914059E-5  0.7199148660E-5   0.000000000      0.000000000   
   1.093750000     0.1299652434E-6  0.1228157072E-6  -.5803440375E-5  0.6552329201E-5   0.000000000      0.000000000   
   1.100781250     0.8562193139E-7  0.1375564251E-6  -.5527863237E-5  0.6079257027E-5   0.000000000      0.000000000   
   1.107812500     0.4809435704E-7  0.1366773165E-6  -.4776596086E-5  0.5990333226E-5   0.000000000      0.000000000   
